algorithm,size,obstacle_rate,seed,found,path_cost,visited_nodes,runtime_ms
A*,100,0.1,29,True,198,8015,10.63931249518646
Dijkstra,100,0.2,0,True,198,8003,8.375104000151623
A*,100,0.2,0,True,198,5909,8.215104506234638
Dijkstra,100,0.2,1,True,198,7920,8.134166506351903
A*,100,0.2,1,True,198,4437,5.975896005111281
Dijkstra,100,0.2,2,True,198,8004,8.351916505489498
A*,100,0.2,2,True,198,4075,5.527187000552658
Dijkstra,100,0.2,3,True,198,8056,8.369478993699886
A*,100,0.2,3,True,198,4816,6.582312504178844
Dijkstra,100,0.2,4,False,,2,0.0012085074558854103
A*,100,0.2,4,False,,2,0.0012500022421590984
Dijkstra,100,0.2,5,True,198,8028,8.223104006901849
A*,100,0.2,5,True,198,5040,7.037416500679683
Dijkstra,100,0.2,6,True,198,7939,8.290313002362382
A*,100,0.2,6,True,198,4395,5.999979002808686
Dijkstra,100,0.2,7,False,,1,0.0006045011105015874
A*,100,0.2,7,False,,1,0.000583502696827054
Dijkstra,100,0.2,8,False,,2,0.001167005393654108
A*,100,0.2,8,False,,2,0.0012289965525269508
Dijkstra,100,0.2,9,True,198,7862,8.160750003298745
A*,100,0.2,9,True,198,4336,5.848895998497028
Dijkstra,100,0.2,10,True,198,7982,8.243770491390023
A*,100,0.2,10,True,198,5095,6.980208498134743
Dijkstra,100,0.2,11,True,198,7970,8.44643751042895
A*,100,0.2,11,True,198,5540,7.678978996409569
Dijkstra,100,0.2,12,True,198,8011,8.497604001604486
A*,100,0.2,12,True,198,5214,7.155041508667637
Dijkstra,100,0.2,13,True,198,8012,8.275770996988285
A*,100,0.2,13,True,198,5932,8.10129199817311
Dijkstra,100,0.2,14,True,198,8008,8.314271006383933
A*,100,0.2,14,True,198,5299,7.3385415016673505
Dijkstra,100,0.2,15,True,198,8014,8.319166496221442
A*,100,0.2,15,True,198,5188,7.040937496640254
Dijkstra,100,0.2,16,True,198,7961,8.18231250741519
A*,100,0.2,16,True,198,4885,6.76808300340781
Dijkstra,100,0.2,17,True,198,8006,8.309000004373956
A*,100,0.2,17,True,198,5663,7.763416499074083
Dijkstra,100,0.2,18,True,198,7994,8.220916497521102
A*,100,0.2,18,True,198,4433,6.057937505829614
Dijkstra,100,0.2,19,True,198,7999,8.205083002394531
A*,100,0.2,19,True,198,5175,7.074499997543171
Dijkstra,100,0.2,20,True,198,7936,8.264375501312315
A*,100,0.2,20,True,198,4395,5.955417000222951
Dijkstra,100,0.2,21,True,198,7971,8.32306200027233
A*,100,0.2,21,True,198,5488,7.497854006942362
Dijkstra,100,0.2,22,False,,1,0.0006045011105015874
A*,100,0.2,22,False,,1,0.0005830079317092896
Dijkstra,100,0.2,23,True,198,7941,8.133416493365075
A*,100,0.2,23,True,198,4436,5.90208300127415
Dijkstra,100,0.2,24,True,198,7895,8.078979000856634
A*,100,0.2,24,True,198,5337,7.4469994942774065
Dijkstra,100,0.2,25,True,198,8008,8.310103999974672
A*,100,0.2,25,True,198,4985,6.854083498183172
Dijkstra,100,0.2,26,True,198,7934,8.159999997587875
A*,100,0.2,26,True,198,3456,4.6575000014854595
Dijkstra,100,0.2,27,True,198,8039,8.344041998498142
A*,100,0.2,27,True,198,5350,7.3442919965600595
Dijkstra,100,0.2,28,False,,7945,8.238916496338788
A*,100,0.2,28,False,,7945,10.527854494284838
Dijkstra,100,0.2,29,True,198,7948,8.229666003899183
A*,100,0.2,29,True,198,4632,6.32762500026729
Dijkstra,100,0.3,0,True,198,6918,7.018499993137084
A*,100,0.3,0,True,198,1263,1.5860835046623833
Dijkstra,100,0.3,1,True,204,6842,6.968749999941792
A*,100,0.3,1,True,204,2308,2.9188544940552674
Dijkstra,100,0.3,2,False,,3,0.0018749997252598405
A*,100,0.3,2,False,,3,0.001957996573764831
Dijkstra,100,0.3,3,False,,6826,6.997687494731508
A*,100,0.3,3,False,,6826,8.62812500417931
Dijkstra,100,0.3,4,False,,1,0.0008334973244927824
A*,100,0.3,4,False,,1,0.0006250047590583563
Dijkstra,100,0.3,5,True,198,6811,6.973791503696702
A*,100,0.3,5,True,198,995,1.210416499816347
Dijkstra,100,0.3,6,False,,6,0.00404199818149209
A*,100,0.3,6,False,,6,0.004437999450601637
Dijkstra,100,0.3,7,False,,1,0.0006045011105015874
A*,100,0.3,7,False,,1,0.0005829933797940612
Dijkstra,100,0.3,8,False,,2,0.001187509042210877
A*,100,0.3,8,False,,2,0.0012294985936023295
Dijkstra,100,0.3,9,True,200,6774,6.880458000523504
A*,100,0.3,9,True,200,1572,1.9903750071534887
Dijkstra,100,0.3,10,False,,6890,6.955521006602794
A*,100,0.3,10,False,,6890,9.00718750199303
Dijkstra,100,0.3,11,True,198,6674,6.900770495121833
A*,100,0.3,11,True,198,1492,1.8578329909360036
Dijkstra,100,0.3,12,True,202,6810,6.969583497266285
A*,100,0.3,12,True,202,2365,3.017978997377213
Dijkstra,100,0.3,13,False,,6885,6.948395996005274
A*,100,0.3,13,False,,6885,8.939937004470266
Dijkstra,100,0.3,14,True,206,6787,6.858603999717161
A*,100,0.3,14,True,206,3543,4.576749990519602
Dijkstra,100,0.3,15,False,,6775,7.03304199851118
A*,100,0.3,15,False,,6775,8.571208505600225
Dijkstra,100,0.3,16,False,,14,0.009041497833095491
A*,100,0.3,16,False,,14,0.010291005310136825
Dijkstra,100,0.3,17,False,,5,0.003249995643272996
A*,100,0.3,17,False,,5,0.0036869969335384667
Dijkstra,100,0.3,18,True,198,6783,6.917916500242427
A*,100,0.3,18,True,198,1482,1.8877919937949628
Dijkstra,100,0.3,19,True,200,6819,6.884875503601506
A*,100,0.3,19,True,200,1330,1.7371665016980842
Dijkstra,100,0.3,20,True,200,6808,6.930041505256668
A*,100,0.3,20,True,200,1903,2.4761454988038167
Dijkstra,100,0.3,21,True,202,6834,6.998437995207496
A*,100,0.3,21,True,202,2460,3.1634170009056106
Dijkstra,100,0.3,22,False,,1,0.0006249902071431279
A*,100,0.3,22,False,,1,0.0005829933797940612
Dijkstra,100,0.3,23,True,198,6832,6.912062504852656
A*,100,0.3,23,True,198,1901,2.4525205008103512
Dijkstra,100,0.3,24,False,,6758,7.038166499114595
A*,100,0.3,24,False,,6758,8.561104004911613
Dijkstra,100,0.3,25,False,,6669,6.673124997178093
A*,100,0.3,25,False,,6669,8.492291497532278
Dijkstra,100,0.3,26,False,,1,0.0006045011105015874
A*,100,0.3,26,False,,1,0.0005420006345957518
Dijkstra,100,0.3,27,True,200,6999,7.163000002037734
A*,100,0.3,27,True,200,2613,3.4169790014857426
Dijkstra,100,0.3,28,False,,6756,6.832458500866778
A*,100,0.3,28,False,,6756,8.760604003327899
Dijkstra,100,0.3,29,False,,7,0.004583009285852313
A*,100,0.3,29,False,,7,0.005124507879372686
Dijkstra,200,0.1,0,True,398,35944,40.76164600701304
A*,200,0.1,0,True,398,31024,46.63983349746559
Dijkstra,200,0.1,1,True,398,35886,41.01614549290389
A*,200,0.1,1,True,398,31147,46.866228491126094
Dijkstra,200,0.1,2,True,398,36019,41.24672900798032
A*,200,0.1,2,True,398,31698,49.03043800004525
Dijkstra,200,0.1,3,True,398,35984,40.94331250234973
A*,200,0.1,3,True,398,31455,47.965145495254546
Dijkstra,200,0.1,4,True,398,36028,41.03135450714035
A*,200,0.1,4,True,398,31495,47.94733349990565
Dijkstra,200,0.1,5,True,398,36065,41.467833500064444
A*,200,0.1,5,True,398,29573,45.018374497885816
Dijkstra,200,0.1,6,True,398,36003,40.72585399262607
A*,200,0.1,6,True,398,30730,46.6290830008802
Dijkstra,200,0.1,7,True,398,36018,40.85037550248671
A*,200,0.1,7,True,398,31097,47.09947900119005
Dijkstra,200,0.1,8,True,398,35956,40.88347899232758
A*,200,0.1,8,True,398,30080,46.326416995725594
Dijkstra,200,0.1,9,True,398,35937,40.89402050158242
A*,200,0.1,9,True,398,31855,48.277624999172986
Dijkstra,200,0.1,10,True,398,36114,41.1229790042853
A*,200,0.1,10,True,398,31637,47.30718800419709
Dijkstra,200,0.1,11,True,398,35943,41.02316650096327
A*,200,0.1,11,True,398,30948,46.875542000634596
Dijkstra,200,0.1,12,True,398,35988,42.07231249893084
A*,200,0.1,12,True,398,32238,48.772375492262654
Dijkstra,200,0.1,13,True,398,35995,41.927562495402526
A*,200,0.1,13,True,398,29422,44.542437499330845
Dijkstra,200,0.1,14,True,398,36063,41.21102100179996
A*,200,0.1,14,True,398,32334,48.492250505660195
Dijkstra,200,0.1,15,True,398,36019,41.097833498497494
A*,200,0.1,15,True,398,31375,48.566291501629166
Dijkstra,200,0.1,16,True,398,35950,41.158542000630405
A*,200,0.1,16,True,398,30882,46.87825000291923
Dijkstra,200,0.1,17,True,398,35973,40.97454150178237
A*,200,0.1,17,True,398,31624,48.24577100225724
Dijkstra,200,0.1,18,True,398,35920,40.83202100446215
A*,200,0.1,18,True,398,31043,47.361729499243665
Dijkstra,200,0.1,19,True,398,35963,40.468500010319985
A*,200,0.1,19,True,398,32287,49.82043749623699
Dijkstra,200,0.1,20,True,398,35951,41.89062500518048
A*,200,0.1,20,True,398,30691,46.58939549699426
Dijkstra,200,0.1,21,True,398,35968,41.07456200290471
A*,200,0.1,21,True,398,31309,47.984374992665835
Dijkstra,200,0.1,22,True,398,35994,41.908020997652784
A*,200,0.1,22,True,398,31576,48.00504149898188
Dijkstra,200,0.1,23,True,398,35946,41.12306249589892
A*,200,0.1,23,True,398,29887,45.34035399410641
Dijkstra,200,0.1,24,True,398,35972,40.95283299830044
A*,200,0.1,24,True,398,32000,48.716395991505124
Dijkstra,200,0.1,25,True,398,36066,41.18481250770856
A*,200,0.1,25,True,398,32036,48.19802100973902
Dijkstra,200,0.1,26,True,398,35984,41.181666500051506
A*,200,0.1,26,True,398,30469,46.360500004084315
Dijkstra,200,0.1,27,True,398,36049,41.71608299657237
A*,200,0.1,27,True,398,31415,47.89387450000504
Dijkstra,200,0.1,28,True,398,35947,40.954624499136116
A*,200,0.1,28,True,398,31654,48.26156249328051
Dijkstra,200,0.1,29,True,398,35948,41.626624995842576
A*,200,0.1,29,True,398,30804,46.46212499937974
Dijkstra,200,0.2,0,True,398,31923,35.87202100607101
A*,200,0.2,0,True,398,23112,36.422645491256844
Dijkstra,200,0.2,1,False,,31749,35.38064550230047
